state,report_date,source,mail_sent_req_2020,mail_accept_2020,mail_reject_2020,total_early_2020,in_person_2020,total_ballots_2016,total_early_2016
MA,10/29/2020,Communication from Massachusetts Secretary of State's office,1608508,1267294,0,2108337,,3378801,0
WA,10/29/2020,https://www.sos.wa.gov/elections/research/data-and-statistics.aspx,4869530,2959481,0,2959481,,3363440,3363440
CA,10/29/2020,https://docs.google.com/forms/d/e/1FAIpQLSfipraqZymaSWDDYjVkidhZ0fpvHGpLuALrX9FxSr0JKeIDGw/viewform,21896305,9167959,0,9167959,,14610509,0
OR,10/29/2020,https://sos.oregon.gov/voting/Pages/current-election.aspx,2949696,1695010,0,1695010,,2056310,2056310
WI,10/30/2020,https://elections.wi.gov/index.php/elections-voting/statistics,1424919,1196182,0,1738638,,2976150,0
ME,10/29/2020,https://www.maine.gov/sos/cec/elec/data/index.html,502353,443834,0,443834,,771892,0
MI,10/30/2020,Data provided by Michigan Secretary of State's office,3216884,2571492,1747,2571492,,4874619,0
NV,10/29/2020,https://www.nvsos.gov/sos/elections/voters/election-turnout-statistics,1797190,475806,0,924693,,1125429,0
NM,10/30/2020,Data Provided by New Mexico Department of State,384809,302400,0,706664,,804043,0
CO,10/29/2020,Data provided by Colorado Secretary of State's office,4111226,2205093,0,2231340,,2859216,2859216
WY,10/26/2020,Communication from Wyoming Secretary of State's Office,119927,101248,0,101248,,258788,0
KS,10/29/2020,Data provided by Kansas Secretary of State's office,506757,346489,0,567397,,1225667,0
NE,10/30/2020,Data provided by Nebraska Secretary of State's office,538081,454885,0,454885,,860573,0
OK,10/28/2020,https://www.ok.gov/elections/Absentee_Ballot_Statistics.html,352377,243209,0,303224,,1452992,0
MO,10/29/2020,https://twitter.com/MissouriSOS/status/1322242318657880066,794166,723058,0,723058,,2025985,0
IL,10/30/2020,https://elections.il.gov/VotingAndRegistrationSystems/PreElectionCounts.aspx?MID=l0hlXuSrKL0%3d&T=637317257975604269,2353749,1522262,0,3038616,,5666118,0
IN,10/29/2020,Communication from Indiana Secretary of State's Office,577962,466383,0,1382285,,2807676,0
VT,10/29/2020,https://sos.vermont.gov/elections/election-info-resources/elections-results-data/,451934,236444,0,236444,,320467,0
AR,10/30/2020,Data provided by Arkansas Secretary of State's office,129924,106738,0,750367,,1137772,0
TX,10/29/2020,https://earlyvoting.texas-election.com/Elections/getElectionDetails.do,,951667,0,9086883,8135216,8975000,0
RI,10/29/2020,https://app.powerbigov.us/view?r=eyJrIjoiMGEwN2E0MzUtOTA0OC00ZDA3LThjMTItZDZhYTBjYjU5ZjhjIiwidCI6IjJkMGYxZGI2LWRkNTktNDc3Mi04NjVmLTE5MTQxNzVkMDdjMiJ9,177062,136291,0,251594,,469589,0
AL,10/27/2020,https://www.sos.alabama.gov/newsroom/2-days-left-apply-absentee-ballot-general-election,286488,221635,0,221635,,2134061,0
MS,10/25/2020,https://mssos.sharefile.com/share/view/s10971e7a9ad492ea/fo4e503a-9603-410a-92a4-72ca103b6fed,169087,142591,0,142591,,1209357,0
NC,10/30/2020,https://dl.ncsbe.gov/?prefix=ENRS/2020_11_03/,1453182,883964,7898,4083968,,4769640,3146722
VA,10/29/2020,https://results.elections.virginia.gov/vaelections/2020%20November%20General/Site/Statistics/Absentee.html or https://www.vpap.org/elections/early-voting/,1137762,878337,0,2436742,,3984631,0
IA,10/30/2020,Data provided by Iowa Secretary of State's office,953278,885100,1573,885100,,1581371,0
MD,10/30/2020,https://elections.maryland.gov/press_room/index.html,1681214,1187193,0,1767923,,2807322,0
DE,10/29/2020,Data provided by Delaware Secretary of State's office,186242,148424,0,148424,,445228,0
PA,10/29/2020,Data provided by Pennsylvania Secretary of State's office,3097890,2112995,566,2112995,,6165478,0
NJ,10/29/2020,Data Provided by New Jersey Department of State,6053996,3150439,0,3150439,,3957303,0
NY,10/29/2020,Communication from New York State Board of Elections,2370201,842696,0,2486654,,7786881,0
ID,10/29/2020,https://adacounty.id.gov/elections/absentee-ballot-tracking/,183608,151015,0,151015,,710545,0
SD,10/23/2020,https://sdsos.gov/elections-voting/upcoming-elections/general-information/2020-General-Election-Absentee-Numbers.aspx,132495,101603,0,152244,,378995,0
CT,10/29/2020,Data provided by Connecticut Secretary of State's office,698580,567252,0,567252,,1675955,0
NH,10/27/2020,https://sos.nh.gov/elections/information/notices/absentee-ballots-requested-for-general-election/,225002,181577,0,181577,,755850,0
KY,10/29/2020,https://twitter.com/Karolina_Buczek/status/1321831092232617985,655452,541010,0,1284523,,1955195,0
OH,10/29/2020,Data scraped from county websites,2997375,2595972,0,2595972,,5607641,0
TN,10/29/2020,https://sos.tn.gov/products/elections-executive/nov-3-election-information,210408,210408,0,2280747,,2545271,0
WV,10/29/2020,http://services.sos.wv.gov/Elections/AbsenteeBallotStats,152789,124494,0,124494,,714423,0
DC,10/29/2020,https://www.dcboe.org/ or https://earlyvoting.dcboe.org/,504043,146192,0,183365,,312575,0
LA,10/29/2020,https://www.sos.la.gov/ElectionsAndVoting/Pages/EarlyVotingStatisticsStatewide.aspx,153261,153261,0,971225,,2049531,0
FL,10/30/2020,https://countyballotfiles.floridados.gov/VoteByMailEarlyVotingReports/PublicStats,5999362,4350842,0,7822033,,9580489,0
GA,10/29/2020,https://elections.sos.ga.gov/Elections/voterabsenteefile.do,1778961,1154119,1368,3621485,,4165405,0
SC,10/30/2020,https://www.scvotes.gov/fact-sheets,1227230,1161002,0,1161002,,2123584,0
MN,10/30/2020,https://www.sos.state.mn.us/election-administration-campaigns/data-maps/absentee-data/,1969728,1581193,0,1581193,,2968281,0
MT,10/30/2020,https://sosmt.gov/elections/,652814,471519,0,471519,,516901,0
ND,10/30/2020,https://vip.sos.nd.gov/abev.aspx?eid=313,211358,160722,0,217943,,349945,0
AZ,10/27/2020,https://www.dataorbital.com/2020-general-election-early-vote-tracker,3365746,2140359,0,2140359,,2661497,0
UT,10/30/2020,https://voteinfo.utah.gov/ballots-processed/,1640707,851016,0,851016,,1152369,0
HI,10/29/2020,https://www.civilbeat.org/2020/10/a-majority-of-hawaii-voters-have-already-cast-their-ballots/,795248,457294,0,457294,,437664,0
AK,10/28/2020,https://www.elections.alaska.gov/doc/info/statstable.php,161061,113307,0,113307,,321271,169629
